PN,ADI,CV²,Classification,Mean_Demand,Std_Demand,Periods_with_Demand,Total_Periods
1896M60G01,7.7889,15.24,Lumpy,0.09,0.34,4,58
38448348,7.7889,15.24,Lumpy,0.09,0.34,4,58
Z120H030930B,7.8286,9.3827,Lumpy,0.31,0.95,8,58
2214463577,8.1067,8.6667,Lumpy,0.1,0.3,6,58
ATIHSSST18,8.1167,11.8889,Lumpy,0.1,0.36,5,58
9372M21P01,8.1333,18.3333,Lumpy,0.05,0.22,3,58
1561M45G07,8.2833,10.9835,Lumpy,0.19,0.63,7,58
4B0099,8.2833,9.44,Lumpy,0.17,0.53,7,58
36147481,8.3667,14.037,Lumpy,0.16,0.58,5,58
50U204,8.5133,11.1728,Lumpy,0.16,0.52,6,58
7069M94G06,8.6167,12.6049,Lumpy,0.16,0.55,5,58
145275171,8.72,10.6,Lumpy,0.17,0.56,6,58
6A5025,8.72,11.0118,Lumpy,0.22,0.74,6,58
BACB30NX20K35,8.875,15.7769,Lumpy,0.19,0.75,5,58
1456M97G05,9.1267,10.6,Lumpy,0.17,0.56,6,58
2249652501,9.1333,13.5,Lumpy,0.14,0.51,5,58
9049M91P06,9.1333,12.1467,Lumpy,0.26,0.9,7,58
A161A,9.74,11.2344,Lumpy,0.28,0.92,6,58
201510205,9.9467,9.6531,Lumpy,0.12,0.37,6,58
5R0151,10.1333,15.1111,Lumpy,0.1,0.4,4,58
2249785503,10.1667,28.0,Lumpy,0.03,0.18,2,58
1996M38G01,10.3533,15.1302,Lumpy,0.22,0.87,6,58
32385642,10.4778,13.5,Lumpy,0.07,0.25,4,58
1967M90G01,10.4889,14.3878,Lumpy,0.12,0.46,4,58
6A6228,10.6333,20.75,Lumpy,0.07,0.31,3,58
9046M14P01,10.6583,13.5,Lumpy,0.14,0.51,5,58
1316M84G01,10.6667,11.8889,Lumpy,0.1,0.36,5,58
55H99301,10.9167,11.8889,Lumpy,0.1,0.36,5,58
UL26034,11.1333,20.75,Lumpy,0.07,0.31,3,58
2A1208,11.1533,8.6667,Lumpy,0.1,0.3,6,58
1898M57G01,11.1667,18.3333,Lumpy,0.05,0.22,3,58
1821M72P05,11.175,11.6875,Lumpy,0.14,0.47,5,58
50G277001,12.1667,28.0,Lumpy,0.03,0.18,2,58
38275323,12.1833,20.75,Lumpy,0.07,0.31,3,58
1442M77P01,12.425,13.5,Lumpy,0.14,0.51,5,58
55H63501,12.5111,16.7551,Lumpy,0.12,0.49,4,58
4215179619,12.6667,10.6,Lumpy,0.09,0.28,5,58
332U2911141,12.9417,11.8889,Lumpy,0.1,0.36,5,58
2345389500,13.2,31.2222,Lumpy,0.05,0.29,2,58
M15461,13.6833,18.3333,Lumpy,0.05,0.22,3,58
3400527010,13.7167,24.52,Lumpy,0.09,0.43,3,58
7082M61G03,14.1889,21.5289,Lumpy,0.19,0.88,4,58
50L43301,14.2,31.2222,Lumpy,0.05,0.29,2,58
52D65701,14.2667,28.0,Lumpy,0.03,0.18,2,58
56T21701,14.5333,15.24,Lumpy,0.09,0.34,4,58
EN6069D514,15.2111,16.9012,Lumpy,0.16,0.64,4,58
57T89201,15.2222,15.24,Lumpy,0.09,0.34,4,58
2215451521,16.2,31.2222,Lumpy,0.05,0.29,2,58
59H57801,16.2,20.75,Lumpy,0.07,0.31,3,58
5A1712,16.2667,18.3333,Lumpy,0.05,0.22,3,58
54H83101,16.7667,18.3333,Lumpy,0.05,0.22,3,58
1302M30G01,17.2333,42.7959,Lumpy,0.12,0.79,2,58
1800M14G01,17.2667,28.0,Lumpy,0.03,0.18,2,58
2215601521,17.2667,28.0,Lumpy,0.03,0.18,2,58
38275212,17.75,18.3333,Lumpy,0.05,0.22,3,58
54T34001,17.7667,18.3333,Lumpy,0.05,0.22,3,58
3400885030,18.2333,31.2222,Lumpy,0.05,0.29,2,58
356N10031,18.2667,20.75,Lumpy,0.07,0.31,3,58
4B7353,18.7667,18.3333,Lumpy,0.05,0.22,3,58
5A9042,18.7667,18.3333,Lumpy,0.05,0.22,3,58
38818261,19.2667,28.0,Lumpy,0.03,0.18,2,58
38825191,19.2667,21.4898,Lumpy,0.12,0.56,4,58
5A8748,19.2833,33.4375,Lumpy,0.14,0.8,3,58
1642M52G01,20.3,20.75,Lumpy,0.07,0.31,3,58
R22512,20.3333,36.9506,Lumpy,0.16,0.94,2,58
3380236030,20.8167,18.3333,Lumpy,0.05,0.22,3,58
50L133,21.3,28.0,Lumpy,0.03,0.18,2,58
50A130,21.3667,31.2222,Lumpy,0.05,0.29,2,58
2244404523,22.3667,40.8889,Lumpy,0.1,0.66,2,58
56H411,22.3667,28.0,Lumpy,0.03,0.18,2,58
56H440,22.3667,28.0,Lumpy,0.03,0.18,2,58
AS13608N0151,24.3667,35.25,Lumpy,0.07,0.41,2,58
38261681,24.8667,18.3333,Lumpy,0.05,0.22,3,58
1491M17G01,25.4,31.2222,Lumpy,0.05,0.29,2,58
3401234010,26.35,20.75,Lumpy,0.07,0.31,3,58
1454M58G07,26.3833,18.3333,Lumpy,0.05,0.22,3,58
54H933,26.3833,19.88,Lumpy,0.09,0.38,3,58
332A2910112,26.8667,24.52,Lumpy,0.09,0.43,3,58
3380240040,30.4,28.0,Lumpy,0.03,0.18,2,58
2214334505,34.5,28.0,Lumpy,0.03,0.18,2,58
5A9148,38.5667,28.0,Lumpy,0.03,0.18,2,58
2244214507,47.7,35.25,Lumpy,0.07,0.41,2,58
58H325,53.7,31.2222,Lumpy,0.05,0.29,2,58
1492M12P001A,58.0,57.0,Lumpy,0.09,0.65,1,58
1835M18G02,58.0,57.0,Lumpy,0.02,0.13,1,58
2215361503,58.0,57.0,Lumpy,0.03,0.26,1,58
2215401533,58.0,57.0,Lumpy,0.03,0.26,1,58
2244208501,58.0,57.0,Lumpy,0.02,0.13,1,58
2244652501,58.0,57.0,Lumpy,0.02,0.13,1,58
2249017515,58.0,57.0,Lumpy,0.02,0.13,1,58
332T340330,58.0,57.0,Lumpy,0.02,0.13,1,58
332T340374,58.0,57.0,Lumpy,0.02,0.13,1,58
332T447020,58.0,57.0,Lumpy,0.02,0.13,1,58
332T4710116,58.0,57.0,Lumpy,0.02,0.13,1,58
332T471044,58.0,57.0,Lumpy,0.02,0.13,1,58
332T4921303,58.0,57.0,Lumpy,0.02,0.13,1,58
3401063020,58.0,57.0,Lumpy,0.02,0.13,1,58
50U40201,58.0,57.0,Lumpy,0.02,0.13,1,58
51A61101,58.0,57.0,Lumpy,0.02,0.13,1,58
51U30301,58.0,57.0,Lumpy,0.03,0.26,1,58
51U31301,58.0,57.0,Lumpy,0.02,0.13,1,58
52G11201,58.0,57.0,Lumpy,0.02,0.13,1,58
52T69401,58.0,57.0,Lumpy,0.02,0.13,1,58
52T90501,58.0,57.0,Lumpy,0.02,0.13,1,58
53T65601,58.0,57.0,Lumpy,0.02,0.13,1,58
54H267,58.0,57.0,Lumpy,0.02,0.13,1,58
54T15001,58.0,57.0,Lumpy,0.05,0.39,1,58
55H73701,58.0,57.0,Lumpy,0.02,0.13,1,58
57T97001,58.0,57.0,Lumpy,0.02,0.13,1,58
58T77601,58.0,57.0,Lumpy,0.05,0.39,1,58
59T785,58.0,57.0,Lumpy,0.03,0.26,1,58
5A9150,58.0,57.0,Lumpy,0.02,0.13,1,58
6A6199,58.0,57.0,Lumpy,0.02,0.13,1,58
9373M29G06,58.0,57.0,Lumpy,0.02,0.13,1,58
AS13610S0120L,58.0,57.0,Lumpy,0.03,0.26,1,58
D5311272800095,58.0,57.0,Lumpy,0.03,0.26,1,58
NAS12163E18,58.0,57.0,Lumpy,0.02,0.13,1,58
2758,1.014,0.088,Smooth,56.83,16.86,58,58
66087,1.014,0.1889,Smooth,45.78,19.9,58,58
326975,1.014,0.3857,Smooth,27.07,16.81,58,58
442653,1.014,0.3815,Smooth,55.76,34.44,58,58
762246,1.014,0.3496,Smooth,8.38,4.95,58,58
849589,1.014,0.2614,Smooth,27.05,13.83,58,58
898052,1.014,0.1234,Smooth,47.72,16.76,58,58
901906,1.014,0.2469,Smooth,13.72,6.82,58,58
901907,1.014,0.34,Smooth,12.09,7.05,58,58
902864,1.014,0.3247,Smooth,17.38,9.9,58,58
974540,1.014,0.3666,Smooth,19.98,12.1,58,58
1226400,1.014,0.3519,Smooth,17.79,10.55,58,58
534011,1.014,0.2943,Smooth,16.03,8.7,58,58
1706903,1.014,0.3987,Smooth,37.66,23.78,58,58
901013,1.014,0.2563,Smooth,8.79,4.45,58,58
4315542,1.014,0.3069,Smooth,36.6,20.28,58,58
33700002,1.014,0.1128,Smooth,37.84,12.71,58,58
89794077,1.014,0.1308,Smooth,36.86,13.33,58,58
3907130402,1.014,0.1398,Smooth,29.19,10.91,58,58
3945128218,1.014,0.4741,Smooth,18.74,12.9,58,58
4611375003,1.014,0.2213,Smooth,8.93,4.2,58,58
018550000,1.014,0.1362,Smooth,23.36,8.62,58,58
024147000,1.014,0.189,Smooth,45.98,19.99,58,58
066500070432,1.014,0.452,Smooth,24.9,16.74,58,58
066500080406,1.014,0.4835,Smooth,39.38,27.38,58,58
071500018102,1.014,0.1921,Smooth,44.4,19.46,58,58
071500018104,1.014,0.3124,Smooth,14.95,8.36,58,58
0851HL,1.014,0.1367,Smooth,35.93,13.28,58,58
0851HT1,1.014,0.1538,Smooth,39.21,15.38,58,58
0851MC,1.014,0.153,Smooth,23.05,9.02,58,58
0861FL1,1.014,0.2639,Smooth,26.14,13.43,58,58
08825604644,1.014,0.4341,Smooth,39.12,25.78,58,58
100201022090,1.014,0.2535,Smooth,32.38,16.3,58,58
102LA2AG,1.014,0.3102,Smooth,25.69,14.31,58,58
1061110002,1.014,0.4148,Smooth,29.43,18.96,58,58
106216301,1.014,0.3639,Smooth,10.97,6.61,58,58
106310452,1.014,0.1342,Smooth,21.57,7.9,58,58
1074847,1.014,0.2012,Smooth,44.16,19.8,58,58
1074926,1.014,0.1911,Smooth,46.21,20.2,58,58
1211342005,1.014,0.2243,Smooth,18.71,8.86,58,58
1213400,1.014,0.2902,Smooth,22.88,12.33,58,58
1217624,1.014,0.3707,Smooth,19.0,11.57,58,58
12678410,1.014,0.3121,Smooth,17.88,9.99,58,58
1296663,1.014,0.2279,Smooth,37.72,18.01,58,58
14330375,1.014,0.2395,Smooth,47.69,23.34,58,58
1550121221,1.014,0.2603,Smooth,11.36,5.8,58,58
1550162011,1.014,0.2288,Smooth,15.95,7.63,58,58
15622000,1.014,0.3047,Smooth,9.53,5.26,58,58
15800358,1.014,0.1584,Smooth,17.12,6.81,58,58
1721F4,1.014,0.4088,Smooth,24.59,15.72,58,58
1741010201,1.014,0.3471,Smooth,26.43,15.57,58,58
1762000101,1.014,0.3482,Smooth,30.45,17.97,58,58
1777MK3,1.014,0.2105,Smooth,17.79,8.16,58,58
1820M33P14,1.014,0.3571,Smooth,8.64,5.16,58,58
1828203,1.014,0.3406,Smooth,34.62,20.2,58,58
1FA140128,1.014,0.2775,Smooth,32.76,17.26,58,58
2030157102,1.014,0.1083,Smooth,22.5,7.4,58,58
211734220,1.014,0.4447,Smooth,26.4,17.6,58,58
21SN4152,1.014,0.4522,Smooth,24.34,16.37,58,58
22064002,1.014,0.3386,Smooth,64.53,37.55,58,58
22330008161,1.014,0.354,Smooth,10.66,6.34,58,58
2293B020000,1.014,0.3426,Smooth,29.55,17.3,58,58
23419242,1.014,0.4599,Smooth,21.52,14.59,58,58
24388900,1.014,0.238,Smooth,33.69,16.43,58,58
24E507009G03,1.014,0.1148,Smooth,35.24,11.94,58,58
265127821,1.014,0.3711,Smooth,43.93,26.76,58,58
2790583108,1.014,0.3939,Smooth,23.53,14.77,58,58
288237,1.014,0.4301,Smooth,25.64,16.81,58,58
28B5459,1.014,0.3195,Smooth,37.55,21.23,58,58
3031863001,1.014,0.2308,Smooth,29.79,14.31,58,58
3043002,1.014,0.2908,Smooth,28.52,15.38,58,58
31075840,1.014,0.3574,Smooth,29.78,17.8,58,58
312540010,1.014,0.4882,Smooth,18.79,13.13,58,58
312BS1011,1.014,0.2691,Smooth,37.97,19.69,58,58
31421003,1.014,0.2181,Smooth,16.28,7.6,58,58
315313,1.014,0.2277,Smooth,35.36,16.87,58,58
31546,1.014,0.3558,Smooth,30.52,18.2,58,58
32022221,1.014,0.1492,Smooth,40.69,15.72,58,58
3205482,1.014,0.4065,Smooth,24.0,15.3,58,58
32144464,1.014,0.1769,Smooth,63.91,26.88,58,58
32145525,1.014,0.2181,Smooth,51.0,23.82,58,58
32145526,1.014,0.4682,Smooth,53.9,36.88,58,58
32146210,1.014,0.1396,Smooth,17.4,6.5,58,58
32156184,1.014,0.3195,Smooth,28.72,16.24,58,58
32156185,1.014,0.3465,Smooth,29.14,17.15,58,58
3250254020,1.014,0.3938,Smooth,12.71,7.97,58,58
3271553,1.014,0.2846,Smooth,26.45,14.11,58,58
32755383,1.014,0.2213,Smooth,41.07,19.32,58,58
32895625,1.014,0.1405,Smooth,53.16,19.93,58,58
32896302,1.014,0.2238,Smooth,33.86,16.02,58,58
32911866,1.014,0.1888,Smooth,49.07,21.32,58,58
32911867,1.014,0.3343,Smooth,22.26,12.87,58,58
32912142,1.014,0.4192,Smooth,22.55,14.6,58,58
32913903,1.014,0.4335,Smooth,17.91,11.79,58,58
32915563,1.014,0.352,Smooth,23.14,13.73,58,58
3296956,1.014,0.2409,Smooth,20.31,9.97,58,58
3380021140,1.014,0.279,Smooth,25.64,13.54,58,58
3380670150,1.014,0.2135,Smooth,23.72,10.96,58,58
3381086080,1.014,0.376,Smooth,7.83,4.8,58,58
3400010390,1.014,0.4068,Smooth,9.81,6.26,58,58
3400018160,1.014,0.2172,Smooth,20.22,9.42,58,58
3400825010,1.014,0.2773,Smooth,16.84,8.87,58,58
3402523070,1.014,0.3631,Smooth,26.33,15.87,58,58
341000051,1.014,0.1731,Smooth,18.07,7.52,58,58
350544851,1.014,0.1614,Smooth,38.76,15.57,58,58
351H51002,1.014,0.2068,Smooth,29.5,13.42,58,58
38007081,1.014,0.3598,Smooth,27.53,16.52,58,58
38762272,1.014,0.1667,Smooth,21.83,8.91,58,58
38861883,1.014,0.1996,Smooth,18.69,8.35,58,58
38880585,1.014,0.1888,Smooth,25.09,10.9,58,58
38880587,1.014,0.1312,Smooth,32.22,11.67,58,58
3987505,1.014,0.4556,Smooth,19.55,13.2,58,58
3987865,1.014,0.4726,Smooth,31.55,21.69,58,58
3989085,1.014,0.2661,Smooth,37.28,19.23,58,58
4081600930,1.014,0.2793,Smooth,49.19,26.0,58,58
4082260939,1.014,0.449,Smooth,20.03,13.42,58,58
4086850922,1.014,0.3572,Smooth,25.9,15.48,58,58
4404B000004,1.014,0.3402,Smooth,14.98,8.74,58,58
4419215,1.014,0.2093,Smooth,43.98,20.12,58,58
4503513,1.014,0.2998,Smooth,14.22,7.79,58,58
460000H88300,1.014,0.1014,Smooth,42.97,13.68,58,58
4739551,1.014,0.1987,Smooth,17.19,7.66,58,58
4739574,1.014,0.1775,Smooth,27.93,11.77,58,58
4917011,1.014,0.2555,Smooth,14.17,7.16,58,58
5006003D,1.014,0.1624,Smooth,39.43,15.89,58,58
5009913G,1.014,0.3669,Smooth,11.34,6.87,58,58
5145164,1.014,0.1771,Smooth,27.6,11.62,58,58
5198588,1.014,0.1839,Smooth,21.05,9.03,58,58
54007122,1.014,0.2184,Smooth,15.28,7.14,58,58
5416744,1.014,0.216,Smooth,45.76,21.27,58,58
5727561,1.014,0.1713,Smooth,24.21,10.02,58,58
5830201111,1.014,0.3067,Smooth,11.9,6.59,58,58
5860017144,1.014,0.2365,Smooth,10.38,5.05,58,58
5860040107,1.014,0.2942,Smooth,15.98,8.67,58,58
5A32957,1.014,0.3205,Smooth,8.19,4.64,58,58
5A33077,1.014,0.207,Smooth,27.6,12.56,58,58
60070000501,1.014,0.3368,Smooth,16.48,9.57,58,58
6068022,1.014,0.2423,Smooth,53.17,26.17,58,58
607551005,1.014,0.3097,Smooth,21.34,11.88,58,58
60920101,1.014,0.3841,Smooth,9.86,6.11,58,58
6224717004,1.014,0.286,Smooth,33.67,18.01,58,58
6227999003,1.014,0.1934,Smooth,31.43,13.82,58,58
6228973001,1.014,0.1241,Smooth,74.9,26.38,58,58
676000141,1.014,0.3737,Smooth,21.41,13.09,58,58
6764B040000,1.014,0.3299,Smooth,18.57,10.67,58,58
6773F010000,1.014,0.1959,Smooth,30.6,13.55,58,58
6774E010000,1.014,0.2589,Smooth,18.98,9.66,58,58
6774G010000,1.014,0.1485,Smooth,41.53,16.01,58,58
6806404,1.014,0.2311,Smooth,14.55,7.0,58,58
71211997101AC,1.014,0.137,Smooth,19.0,7.03,58,58
7244002,1.014,0.4276,Smooth,25.47,16.65,58,58
739515C,1.014,0.231,Smooth,12.55,6.03,58,58
740119H,1.014,0.2148,Smooth,16.1,7.46,58,58
746A000006,1.014,0.1851,Smooth,22.43,9.65,58,58
752168B,1.014,0.216,Smooth,15.95,7.41,58,58
753D000001,1.014,0.3153,Smooth,12.41,6.97,58,58
754C000001,1.014,0.3234,Smooth,15.31,8.71,58,58
755C000001,1.014,0.197,Smooth,16.57,7.35,58,58
766088B,1.014,0.1509,Smooth,13.31,5.17,58,58
77328915,1.014,0.144,Smooth,24.5,9.3,58,58
77328918,1.014,0.1685,Smooth,17.98,7.38,58,58
7755507,1.014,0.209,Smooth,14.78,6.75,58,58
790425A9,1.014,0.3247,Smooth,25.21,14.36,58,58
7968150203,1.014,0.3102,Smooth,12.64,7.04,58,58
7998014,1.014,0.1331,Smooth,16.34,5.96,58,58
7A1508125,1.014,0.1912,Smooth,25.69,11.23,58,58
8010004,1.014,0.3769,Smooth,12.43,7.63,58,58
80130700,1.014,0.2067,Smooth,61.21,27.83,58,58
80217010,1.014,0.1027,Smooth,30.47,9.76,58,58
80230014,1.014,0.1373,Smooth,74.24,27.51,58,58
80555154501,1.014,0.1745,Smooth,38.26,15.98,58,58
8061536,1.014,0.4068,Smooth,46.81,29.86,58,58
8085561,1.014,0.2148,Smooth,15.48,7.18,58,58
8113903,1.014,0.147,Smooth,21.53,8.26,58,58
8220987003,1.014,0.2968,Smooth,28.74,15.66,58,58
8220990003,1.014,0.2467,Smooth,32.1,15.95,58,58
8221033100,1.014,0.3051,Smooth,26.17,14.46,58,58
8221152002,1.014,0.2177,Smooth,19.29,9.0,58,58
8221293033,1.014,0.2,Smooth,41.55,18.58,58,58
8221338205,1.014,0.1383,Smooth,17.59,6.54,58,58
8221567102,1.014,0.1278,Smooth,17.43,6.23,58,58
8221567104,1.014,0.3645,Smooth,11.19,6.76,58,58
893003,1.014,0.0963,Smooth,33.52,10.4,58,58
89873202,1.014,0.4269,Smooth,7.16,4.67,58,58
90431054,1.014,0.2547,Smooth,10.16,5.13,58,58
90591101,1.014,0.2731,Smooth,22.26,11.63,58,58
9400351001,1.014,0.1545,Smooth,27.16,10.68,58,58
9804700042,1.014,0.2262,Smooth,78.47,37.32,58,58
9806022001,1.014,0.1454,Smooth,75.5,28.79,58,58
A2864012,1.014,0.4128,Smooth,10.4,6.68,58,58
BA04105,1.014,0.4169,Smooth,19.88,12.84,58,58
BA1650101,1.014,0.252,Smooth,21.53,10.81,58,58
C12848CA01,1.014,0.2014,Smooth,26.24,11.78,58,58
C12850AC03,1.014,0.1898,Smooth,30.88,13.45,58,58
C16221WB01,1.014,0.2984,Smooth,15.76,8.61,58,58
C16291AB,1.014,0.1774,Smooth,28.24,11.9,58,58
C16786EA01,1.014,0.2569,Smooth,25.97,13.16,58,58
C17001BA01,1.014,0.2509,Smooth,10.38,5.2,58,58
C19298AF05,1.014,0.1594,Smooth,41.5,16.57,58,58
C19755BA01,1.014,0.1693,Smooth,33.79,13.91,58,58
C20225510,1.014,0.2109,Smooth,41.1,18.88,58,58
C251750003,1.014,0.4568,Smooth,9.78,6.61,58,58
D24001000,1.014,0.1851,Smooth,23.02,9.9,58,58
D30664709,1.014,0.1252,Smooth,29.12,10.3,58,58
D31865111,1.014,0.1382,Smooth,25.31,9.41,58,58
D31865112,1.014,0.1431,Smooth,24.97,9.44,58,58
D5311047700007,1.014,0.292,Smooth,11.05,5.97,58,58
D71702001,1.014,0.1511,Smooth,25.14,9.77,58,58
DMC5017,1.014,0.271,Smooth,120.22,62.58,58,58
DV84567015,1.014,0.3105,Smooth,28.21,15.72,58,58
E21327107,1.014,0.1953,Smooth,14.72,6.51,58,58
E28180200006,1.014,0.2598,Smooth,38.28,19.51,58,58
G7404124,1.014,0.1745,Smooth,18.57,7.76,58,58
HG1050AD15,1.014,0.2117,Smooth,21.21,9.76,58,58
HG1050AE15,1.014,0.2225,Smooth,21.76,10.26,58,58
HG2030BE04,1.014,0.168,Smooth,24.74,10.14,58,58
HG2050AC07,1.014,0.2838,Smooth,19.86,10.58,58,58
HG2050AC11,1.014,0.2514,Smooth,22.66,11.36,58,58
LA2T0G20705C070,1.014,0.3241,Smooth,9.47,5.39,58,58
LA2T0G21006CA10,1.014,0.3832,Smooth,15.84,9.81,58,58
MA30A1017,1.014,0.2661,Smooth,21.79,11.24,58,58
QA07995,1.014,0.2296,Smooth,20.26,9.71,58,58
RCF6708,1.014,0.2478,Smooth,30.33,15.1,58,58
RP23500,1.014,0.4517,Smooth,12.53,8.42,58,58
TC29603,1.014,0.4064,Smooth,8.67,5.53,58,58
Z014H000333B,1.014,0.4036,Smooth,17.79,11.3,58,58
7882,1.0321,0.3809,Smooth,6.79,4.19,57,58
772292,1.0321,0.3978,Smooth,18.53,11.69,57,58
118411934,1.0321,0.3405,Smooth,12.0,7.0,57,58
1211318004,1.0321,0.3426,Smooth,7.91,4.63,57,58
1211318006,1.0321,0.3845,Smooth,7.91,4.91,56,58
1217623,1.0321,0.4537,Smooth,9.41,6.34,57,58
14330350,1.0321,0.3862,Smooth,32.24,20.04,57,58
1853M10G03,1.0321,0.4001,Smooth,13.17,8.33,57,58
2100M64G01,1.0321,0.4498,Smooth,4.95,3.32,57,58
32911723,1.0321,0.4218,Smooth,22.57,14.66,57,58
32912382,1.0321,0.1774,Smooth,18.57,7.82,57,58
32913904,1.0321,0.425,Smooth,10.55,6.88,57,58
3371085200,1.0321,0.4344,Smooth,15.45,10.18,57,58
3400010380,1.0321,0.3503,Smooth,18.34,10.86,57,58
3400012620,1.0321,0.3758,Smooth,18.81,11.53,57,58
350558228,1.0321,0.4671,Smooth,37.79,25.83,57,58
38007021,1.0321,0.2621,Smooth,18.93,9.69,57,58
38223916,1.0321,0.4776,Smooth,8.98,6.21,57,58
38762261,1.0321,0.4861,Smooth,5.93,4.14,57,58
457311382,1.0321,0.1903,Smooth,17.62,7.69,57,58
50N203,1.0321,0.4354,Smooth,5.59,3.69,57,58
5115404,1.0321,0.3725,Smooth,20.81,12.7,57,58
5145177,1.0321,0.4473,Smooth,10.16,6.79,57,58
59136674,1.0321,0.3457,Smooth,15.41,9.06,57,58
632921461,1.0321,0.3026,Smooth,18.4,10.12,57,58
6411271,1.0321,0.2709,Smooth,7.67,3.99,57,58
6425855503,1.0321,0.4755,Smooth,11.05,7.62,57,58
6925464,1.0321,0.2823,Smooth,8.69,4.62,57,58
727810C,1.0321,0.218,Smooth,13.03,6.09,57,58
7405121511,1.0321,0.2774,Smooth,10.36,5.46,57,58
7452010503,1.0321,0.4063,Smooth,9.52,6.07,57,58
7850029,1.0321,0.3386,Smooth,8.66,5.04,56,58
8203110000,1.0321,0.3859,Smooth,10.34,6.43,57,58
8910620,1.0321,0.1815,Smooth,11.5,4.9,57,58
8TC34ABW1,1.0321,0.2732,Smooth,13.03,6.81,57,58
8TJ163AAB1,1.0321,0.388,Smooth,8.22,5.12,57,58
904311016,1.0321,0.3064,Smooth,13.45,7.44,57,58
9400351005,1.0321,0.2936,Smooth,15.9,8.61,57,58
C13042BA08,1.0321,0.2849,Smooth,11.17,5.96,57,58
C19266EA01,1.0321,0.2638,Smooth,11.36,5.84,57,58
C19366AF05,1.0321,0.2129,Smooth,11.79,5.44,57,58
EVT3454HC,1.0321,0.1879,Smooth,23.0,9.97,57,58
G750003,1.0321,0.209,Smooth,14.1,6.45,57,58
H504B,1.0321,0.3163,Smooth,8.14,4.58,57,58
HG2030AE23,1.0321,0.2541,Smooth,16.05,8.09,57,58
J540AI4100,1.0321,0.2912,Smooth,17.9,9.66,57,58
MF100511,1.0321,0.1167,Smooth,17.69,6.04,57,58
UA5385513,1.0321,0.1673,Smooth,18.31,7.49,57,58
VG2201,1.0321,0.3406,Smooth,16.38,9.56,57,58
52N67401,1.0327,0.4206,Smooth,4.47,2.9,56,58
1288M99G14,1.0509,0.2882,Smooth,6.48,3.48,56,58
1288M99G15,1.0509,0.4754,Smooth,5.21,3.59,56,58
16844000,1.0509,0.3485,Smooth,11.24,6.64,56,58
1753M39G03,1.0509,0.4526,Smooth,9.88,6.65,56,58
1803B000002,1.0509,0.405,Smooth,6.62,4.21,56,58
3400018170,1.0509,0.3451,Smooth,14.83,8.71,56,58
38762552,1.0509,0.443,Smooth,12.02,8.0,56,58
39680012,1.0509,0.3495,Smooth,22.67,13.4,56,58
55L201,1.0509,0.4296,Smooth,4.28,2.8,56,58
5727571,1.0509,0.2043,Smooth,16.31,7.37,56,58
761674,1.0509,0.3159,Smooth,8.62,4.85,56,58
8220299020,1.0509,0.4382,Smooth,13.1,8.67,56,58
82830011,1.0509,0.2303,Smooth,19.97,9.58,56,58
90201601,1.0509,0.3739,Smooth,7.69,4.7,56,58
9315M41P20,1.0509,0.4858,Smooth,6.5,4.53,56,58
442634,1.0704,0.4171,Smooth,9.02,5.82,55,58
3204012010,1.0704,0.276,Smooth,12.09,6.35,55,58
3400841020,1.0704,0.3377,Smooth,8.55,4.97,55,58
38762711,1.0704,0.4184,Smooth,7.05,4.56,55,58
8TJ162AAB1,1.0704,0.4727,Smooth,7.34,5.05,55,58
9483011,1.0704,0.4818,Smooth,6.0,4.16,55,58
9972M46G05,1.0704,0.4383,Smooth,8.24,5.46,55,58
21SN04466,1.0906,0.4769,Smooth,4.97,3.43,54,58
OMP25066,1.0906,0.4771,Smooth,4.59,3.17,54,58
1531M84G12,1.0917,0.4852,Smooth,5.14,3.58,53,58
8TC34ABK1,1.1115,0.4736,Smooth,3.38,2.33,53,58
