Part_Number,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
066-50008-0409,Test,3,14.943470790459104,0.3546540406628265,1.0,8.87481944599078,0.7086489578131977,0.3333333333333333,11.023475823599655,25.96694661405876,15.120801090683774,13.551413964876586,21.942418017619456,8.292558125177688,4.9338140982879715,1.7876818605365328,17.221172332763672,0.19395103873088032,1.0,8.780351638793945,0.2638819130033847,0.6666666666666666,12.260776,29.481949,17.270248,15.867841,24.409311,8.570139,2.568449656168621,2.103761969836705,100.0,33.33333333333333,100.0,66.66666666666666
066-50008-0409,Validation,3,14.970401462559202,0.5706784519178213,0.6666666666666666,9.501312828681273,0.8956922430630349,0.6666666666666666,13.157231975468846,27.90401275748144,14.392531228105478,15.130538592676075,23.70673294250099,8.748396141705754,5.604009199113101,2.5381209717043207,15.99263490041097,0.06700502103447785,0.6666666666666666,8.556413014729818,0.850425650626032,0.6666666666666666,10.330281,26.30293,15.965729,13.6048,21.559965,7.954954,4.048959732055665,2.760390782429807,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
071-50001-8102,Test,3,11.344291580268099,0.22662333280379127,1.0,7.469410504551611,0.2050690566258307,0.6666666666666666,10.031065957378319,21.37535753764642,11.476769929229759,11.186163013674127,18.633777460809345,7.573937662604534,2.4919989499709856,0.8997827842845608,15.323258399963379,0.2947571621753977,1.0,7.913860321044922,0.221171468454369,0.6666666666666666,9.710454,25.033712,15.329384,12.861249,20.545204,7.687481,3.1295579274495466,2.07578250360267,100.0,66.66666666666666,100.0,66.66666666666666
071-50001-8102,Validation,3,11.53053603122374,0.541578427013531,1.0,7.431690623358475,0.06943385579641327,1.0,9.900233537930388,21.430769569154126,11.767173265396258,10.921712838270984,18.35340346162946,7.454060158749321,1.3981370383177687,1.6060362668430512,13.888921419779459,0.19797694861175957,1.0,7.171069780985515,0.1756097990733594,0.6666666666666666,7.732418,21.62134,13.872041,10.537797,17.523348,7.0035925,1.755044937133788,1.9569530327457496,100.0,100.0,100.0,66.66666666666666
071-50001-8104,Test,3,12.522190090480862,0.4951428126869922,1.0,6.5569547457311685,0.4397228932303033,1.0,8.114966184069116,20.637156274549977,12.741244624158885,10.412748198770364,16.96970294450153,6.262632882329852,0.8846675080812497,0.9324341990892773,14.15463924407959,0.3471894159364373,1.0,7.103313446044922,0.16039007361676053,1.0,8.178504,22.333143,14.344566,11.066539,18.169853,7.191717,1.9817082087198905,0.8128659347570079,100.0,100.0,100.0,100.0
071-50001-8104,Validation,3,12.629602555343842,1.4933448642545664,0.3333333333333333,8.348177507708511,1.5583287547924884,0.3333333333333333,8.520244483379606,21.084445806772237,12.61358029808079,11.053993970289733,18.47202963709075,6.840828577083439,5.524031567142515,1.7384069948306666,12.917540868123373,0.10196554225072528,1.0,7.318868796030681,0.7640059489458001,0.3333333333333333,6.4679527,19.385492,12.954483,8.994827,15.473767,6.5105495,4.296726862589517,2.3503775400959013,33.33333333333333,33.33333333333333,100.0,33.33333333333333
0851HL,Test,3,14.27137753331504,0.8552758593422182,1.0,9.191062552390997,1.091455097686545,0.3333333333333333,17.72965696205922,32.001034495374256,13.710528440236505,18.947367521201556,27.492956926565387,8.595468589157399,4.677062431539452,2.2931463795533613,20.345822016398113,0.6289891646340473,1.0,10.732295354207357,1.1221857171063736,0.6666666666666666,16.848846,37.19467,20.771717,21.194616,31.242826,10.210142,5.075763702392579,3.1491312868678674,100.0,33.33333333333333,100.0,66.66666666666666
0851HL,Validation,3,12.742741569341447,0.2874834965107107,0.3333333333333333,8.931301006302657,0.6935968459543069,0.0,16.35856125597175,29.045944633987563,12.62953550109009,17.68021945872238,24.889707596716743,7.246493565534205,7.3738071935385845,1.501726344516326,17.81680221557617,0.4180698490790957,0.6666666666666666,10.046573321024576,0.8855317161366002,0.3333333333333333,13.60572,31.414993,18.038074,17.41532,26.266714,8.918343,6.250277201334637,2.413280599397324,33.33333333333333,0.0,66.66666666666666,33.33333333333333
0851HT-1,Test,3,16.458182953473084,1.1191478152240977,1.0,9.947856843465933,1.257139389094606,0.0,18.849667722878923,35.30785067635201,16.730126595753422,20.459787655569524,29.14862233140425,8.52224473132349,6.662751825293655,1.4483223665463092,21.74476496378581,0.3999337732101796,1.0,10.741069793701172,0.1498309714888152,0.6666666666666666,18.772257,40.517017,21.791603,23.486887,34.026836,10.543644,2.5728747049967424,2.4617001528928464,100.0,0.0,100.0,66.66666666666666
0851HT-1,Validation,3,15.006206105772298,0.5593666730291079,0.6666666666666666,9.339300310518945,2.3556971303576906,0.6666666666666666,17.300158973019965,32.017431476134185,14.702736528019955,18.351357947004534,25.98920489903344,7.42879042539359,6.592433325136532,5.078070089879968,18.34446169535319,0.35203995497676427,0.6666666666666666,10.593074480692545,2.2565396058346567,0.6666666666666666,13.889763,31.851068,18.08487,17.775019,26.584646,8.824694,6.542965571085612,5.9141940796872055,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
0851MC,Test,3,15.759570427643153,1.0846449886408072,0.6666666666666666,8.726562421234396,2.306164502336324,0.6666666666666666,14.327856913031306,29.83848842773021,15.195304464900536,17.452647894829965,24.956437599018766,7.619396329016581,4.6811572089193945,5.0738814082191155,16.982419204711913,0.5883327971818771,0.6666666666666666,9.215726534525553,1.1646636662929688,0.6666666666666666,11.791798,28.702927,17.05402,15.342502,23.785652,8.511532,4.488982518513999,3.211315713250814,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
0851MC,Validation,3,15.305044056215985,1.0428719154173278,1.0,8.664029816813414,1.1908186577989175,0.3333333333333333,12.399600482852678,27.704644539068664,14.656910535318813,15.684407604249158,23.336433596745433,7.717328533704226,5.734691663604544,2.5682814450841813,16.30435810089111,0.4377085125707616,0.6666666666666666,9.234230041503906,1.6618854338873867,0.6666666666666666,10.564915,26.712198,16.139833,13.955173,22.01097,8.0401,5.8141593933105495,3.6843572130544184,100.0,33.33333333333333,66.66666666666666,66.66666666666666
0861FL1,Test,3,13.111594838537561,0.6367994424405168,1.0,8.139588675054066,0.5036933982449266,1.0,10.54794617662571,23.659541015163267,12.840485735057552,12.773814008363503,20.91340268341757,7.840815772764204,1.4016729266329584,1.2649467693546335,15.929375330607096,0.18802117482931854,1.0,7.970388730367024,0.083456979316748,1.0,10.275584,26.204958,15.803385,13.5504675,21.520857,7.9177637,2.3477751413981127,0.25463909046600464,100.0,100.0,100.0,100.0
